Source_Station_Name,Destination_Station_Name,Train_Count
TAMBARAM,CHENNAI BEACH,137
CHENNAI BEACH,TAMBARAM,137
CST-MUMBAI,PANVEL,94
PANVEL,CST-MUMBAI,93
RAVLI JN,CST-MUMBAI,90
CST-MUMBAI,RAVLI JN,90
VELACHEERY,CHENNAI BEACH,89
CHENNAI BEACH,VELACHEERY,87
CST-MUMBAI,THANE,77
THANE,CST-MUMBAI,72
KALYAN JN,CST-MUMBAI,70
CHENNAI BEACH,CHENGALPATTU,67
CHENGALPATTU,CHENNAI BEACH,67
CST-MUMBAI,KALYAN JN,66
VASHI,THANE,52
THANE,VASHI,52
BARDDHAMAN JN.,HOWRAH JN.,48
HOWRAH JN.,BARDDHAMAN JN.,48
BELAPUR C.B.D,CST-MUMBAI,43
HOWRAH JN.,BANDEL JN.,42
BANDEL JN.,HOWRAH JN.,41
KALYAN JN,AMBERNATH,39
AMBERNATH,KALYAN JN,38
TITVALA,KALYAN JN,38
KALYAN JN,TITVALA,38
CST-MUMBAI,VASHI,37
CST-MUMBAI,BELAPUR C.B.D,36
KALYAN JN,BADLAPUR,35
BADLAPUR,KALYAN JN,34
TIRUVALLUR,MOOR MARKET,31
LINGAMPALLI,FALAKNUMA,30
VASHI,CST-MUMBAI,30
DOMBIVLI,CST-MUMBAI,29
MOOR MARKET,TIRUVALLUR,29
BUDGE BUDGE,SEALDAH,28
CST-MUMBAI,KURLA,28
THANE,NERUL,28
NERUL,THANE,28
SEALDAH,BANGAON JN.,28
SEALDAH,BUDGE BUDGE,28
KARJAT,KALYAN JN,28
FALAKNUMA,LINGAMPALLI,28
KALYAN JN,KARJAT,27
CST-MUMBAI,DOMBIVLI,27
HYDERABAD DECCAN,LINGAMPALLI,26
BANGAON JN.,SEALDAH,26
CANNING,SEALDAH,25
SEALDAH,DIAMOND HARBOUR,25
DIAMOND HARBOUR,SEALDAH,25
LAKSHMIKANTAPUR,SEALDAH,24
MOOR MARKET,ARAKKONAM JN,24
KURLA,CST-MUMBAI,24
LINGAMPALLI,HYDERABAD DECCAN,23
GUMMIDIPUNDI,MOOR MARKET,23
MOOR MARKET,GUMMIDIPUNDI,23
SEALDAH,CANNING,23
PANVEL,THANE,22
SEALDAH,LAKSHMIKANTAPUR,22
TARAKESHWAR,HOWRAH JN.,22
HOWRAH JN.,TARAKESHWAR,21
THANE,PANVEL,21
DADAR,KALYAN JN,21
DANKUNI JN.,SEALDAH,21
ARAKKONAM JN,MOOR MARKET,21
BARUIPUR JN.,SEALDAH,20
SEALDAH,DANKUNI JN.,20
ASANGAON,KALYAN JN,20
SEALDAH,NAIHATI JN.,20
NAIHATI JN.,SEALDAH,20
SEALDAH,BARUIPUR JN.,20
KALYAN JN,ASANGAON,19
NAIHATI JN.,BANDEL JN.,19
BANDEL JN.,NAIHATI JN.,19
HOWRAH JN.,PANSKURA,19
KALYAN JN,KASARA,18
KASARA,KALYAN JN,18
SEALDAH,KRISHNA NAGAR CITY JN.,18
KRISHNA NAGAR CITY JN.,SEALDAH,18
MOOR MARKET,AVADI,18
LONAVLA,PUNE JN.,17
KALYAN JN,DADAR,17
SEALDAH,BARRACKPORE,16
PUNE JN.,LONAVLA,16
PATTABIRAM E DEPOT,MOOR MARKET,16
SEALDAH,SHANTIPUR JN.,16
SHANTIPUR JN.,SEALDAH,16
HOWRAH JN.,MIDNAPORE,16
SEALDAH,KALYANI SIMANTA,15
BARRACKPORE,SEALDAH,15
RANAGHAT JN.,BANGAON JN.,15
MIDNAPORE,HOWRAH JN.,15
MOOR MARKET,PATTABIRAM E DEPOT,14
RANAGHAT JN.,SEALDAH,14
HASANABAD,SEALDAH,14
KALYANI SIMANTA,SEALDAH,14
BANGAON JN.,RANAGHAT JN.,14
SEALDAH,SONARPUR JN.,13
AVADI,MOOR MARKET,13
MOOR MARKET,SULLURUPETTA,13
SEALDAH,RANAGHAT JN.,13
SEORAPHULI JN.,HOWRAH JN.,13
SEALDAH,HASANABAD,12
MUMBAI VADALA ROAD,PANVEL,12
AVADI,VELACHEERY,12
HOWRAH JN.,SEORAPHULI JN.,12
VIRAR,DAHANU ROAD,12
AVADI,CHENNAI BEACH,12
NAMKHANA,LAKSHMIKANTAPUR,12
SULLURUPETTA,MOOR MARKET,12
PANVEL,MUMBAI VADALA ROAD,12
LAKSHMIKANTAPUR,NAMKHANA,12
SONARPUR JN.,SEALDAH,11
PANSKURA,HOWRAH JN.,11
BARDDHAMAN JN.,ASANSOL MAIN,11
GHAZIABAD JN.,NEW DELHI,11
TIRUMALPUR,CHENNAI BEACH,11
ASANSOL MAIN,BARDDHAMAN JN.,11
GAYA JN.,PATNA JN.,11
CHENNAI BEACH,TIRUMALPUR,11
PATNA JN.,GAYA JN.,11
DAHANU ROAD,VIRAR,10
DATTAPUKUR,SEALDAH,10
SEALDAH,GEDE,10
JASIDIH JN.,BAIDYANATHDHAM,10
TIRUTTANI,MOOR MARKET,10
SEALDAH,BARASAT JN.,10
PALASDARI,KARJAT,10
LUCKNOW JN.,KANPUR CENTRAL JN.,9
DARJEELING,DARJEELING,9
HOWRAH JN.,KATWA JN.,9
GEDE,RANAGHAT JN.,9
RAVLI JN,PANVEL,9
AZIMGANJ JN.,KATWA JN.,9
MOOR MARKET,TIRUTTANI,9
KALYAN JN,PALASDARI,9
CHENNAI BEACH,TIRUVALLUR,9
KATWA JN.,HOWRAH JN.,9
RANAGHAT JN.,GEDE,9
GEDE,SEALDAH,9
MERTA CITY,MERTA ROAD JN.,9
KATWA JN.,BANDEL JN.,9
KATWA JN.,AZIMGANJ JN.,9
MERTA ROAD JN.,MERTA CITY,9
HOWRAH JN.,ARAMBAG,8
GHAZIABAD JN.,DELHI JN.,8
KARJAT,PALASDARI,8
MUMBAI CENTRAL,AHMEDABAD,8
VASHI,MUMBAI VADALA ROAD,8
KHAMBHAT,ANAND JN.,8
VIDYAVIHAR,KALYAN JN,8
ANAND JN.,KHAMBHAT,8
BAIDYANATHDHAM,JASIDIH JN.,8
ARAMBAG,HOWRAH JN.,8
AHMEDABAD,MUMBAI CENTRAL,8
KANPUR CENTRAL JN.,LUCKNOW JN.,8
BARASAT JN.,HASANABAD,8
NEW DELHI,GHAZIABAD JN.,8
JOGBANI,KATIHAR JN.,8
KHARAGPUR,HOWRAH JN.,8
KALYAN JN,THANE,8
HOWRAH JN.,PURI,8
DELHI JN.,GHAZIABAD JN.,8
TINPAHAR JN.,RAJMAHAL,8
RAJMAHAL,TINPAHAR JN.,8
MORADABAD JN.,RAMNAGAR,7
SEALDAH,DATTAPUKUR,7
