Train_No,Train_Name,Source_Station_Name,Destination_Station_Name,days,Service_Category
107,SWV-MAO-VLNK,SAWANTWADI ROAD,MADGOAN JN.,SATURDAY,Weekend
401,BSB BHARATDA,AURANGABAD,VARANASI JN.,SATURDAY,Weekend
1196,NGP-KRMI SPL,NAGPUR JN.(CR),KARMALI,SATURDAY,Weekend
1706,JBP-BDTS SF,JABALPUR,BANDRA TERMINUS,SATURDAY,Weekend
2834,SRC-RJT SF A,SANTRAGACHI JN.,RAJKOT,SATURDAY,Weekend
3305,DHN-KUSUNDA,DHANBAD JN.,KUSUNDA,SATURDAY,Weekend
3502,ANVT-JSME BI,ANAND VIHAR TERMINAL,JASIDIH JN.,SATURDAY,Weekend
4802,MKN PBC PASS,MAKRANA JN.,PARVATSAR CITY,SATURDAY,Weekend
5066,LJN-CPR-EXP,LUCKNOW JN.,CHHAPRA JN.,SATURDAY,Weekend
5306,FBD- CPA EXP,FARRUKHABAD JN,KANPUR ANWARGANJ,SATURDAY,Weekend
5521,JMP-SHC SPEC,JAMALPUR JN.,SAHARSA JN.,SATURDAY,Weekend
5719,KIR - SGUJ D,KATIHAR JN.,SILIGURI JN.,SATURDAY,Weekend
5863,RNY - RPAN P,RANGIYA JN.,RANGAPARA NORTH,SATURDAY,Weekend
5864,RPAN - RNY P,RANGAPARA NORTH,RANGIYA JN.,SATURDAY,Weekend
6043,MAS-QLN SPL,CHENNAI CENTRAL,QUILON,SATURDAY,Weekend
6053,KCVL-MAJN S/,KOCHUVELI,MANGALORE JN,SATURDAY,Weekend
6068,CBE-CGL TRI-,COIMBATORE  JN.,CHENGALPATTU,SATURDAY,Weekend
6594,BYPL-WFD DEM,BAIYYAPPANAHALLI,WHITE FIELD,SATURDAY,Weekend
6595,YPR-CBP PASS,YESVANTPUR JN.,DEVANHALLI,SATURDAY,Weekend
6919,UBL-BJP SPL,HUBLI JN.,BIJAPUR JN,SATURDAY,Weekend
7006,RXL-HYB,RAXAUL JN.,HYDERABAD DECCAN,SATURDAY,Weekend
7016,KCG-VSKP,KACHEGUDA,VISAKHAPATNAM,SATURDAY,Weekend
7134,QLN-GNT-HYB,QUILON,HYDERABAD DECCAN,SATURDAY,Weekend
7410,TPTY-AK,TIRUPATI,AURANGABAD,SATURDAY,Weekend
7425,KCG--COA HSP,KACHEGUDA,KAKINADA PORT,SATURDAY,Weekend
7436,SC-COA,SECUNDERABAD JN.,KAKINADA TOWN,SATURDAY,Weekend
7607,NED-TPTY HOL,NANDED,TIRUPATI,SATURDAY,Weekend
8035,BLS - KGP DE,KHARAGPUR,BALASORE,SATURDAY,Weekend
8052,JGM KGP MEMU,JHARGRAM,KHARAGPUR,SATURDAY,Weekend
8627,HWH RNC SPL,HOWRAH JN.,RANCHI,SATURDAY,Weekend
9003,BDTS NZM  SF,BANDRA TERMINUS,HAZRAT NIZAMUDDIN JN,SATURDAY,Weekend
9622,BDTS AII SF,BANDRA TERMINUS,AJMER JN.,SATURDAY,Weekend
9809,KOTA-NZM DAI,KOTA,HAZRAT NIZAMUDDIN JN,SATURDAY,Weekend
10112,KONKAN KANYA,MADGOAN JN.,CST-MUMBAI,SATURDAY,Weekend
11005,DR-PDY EXPRE,DADAR,PONDICHERRY,SATURDAY,Weekend
11006,CHALUKYA EXP,PONDICHERRY,DADAR,SATURDAY,Weekend
11015,KUSHINAGAR E,LOKMANYA TILAK TERMINUS,GORAKHPUR JN.,SATURDAY,Weekend
11021,DR-TEN EXPRE,DADAR,TIRUNELVELI JN,SATURDAY,Weekend
11022,TEN - DR EXP,TIRUNELVELI JN,DADAR,SATURDAY,Weekend
11026,PUNE-BSL EXP,PUNE JN.,BHUSAVAL JN.,SATURDAY,Weekend
11031,SUR-BJP EPXR,SOLAPUR,BIJAPUR JN,SATURDAY,Weekend
11042,MAS-CSMT MUM,CHENNAI CENTRAL,CST-MUMBAI,SATURDAY,Weekend
11049,ADI-KOP EXPR,AHMEDABAD,CHHATRAPATI SHAHU MAHARAJ TERMINUS,SATURDAY,Weekend
11050,KOP-ADI EXPR,CHHATRAPATI SHAHU MAHARAJ TERMINUS,AHMEDABAD,SATURDAY,Weekend
11067,SAKET EXPRES,LOKMANYA TILAK TERMINUS,FAIZABAD JN.,SATURDAY,Weekend
11072,KAMAYANI EXP,VARANASI JN.,LOKMANYA TILAK TERMINUS,SATURDAY,Weekend
11078,JHELUM EXPRE,JAMMU TAWI,PUNE JN.,SATURDAY,Weekend
11079,LTT-GKP EXPR,LOKMANYA TILAK TERMINUS,GORAKHPUR JN.,SATURDAY,Weekend
11086,MAO-LTT DOUB,MADGOAN JN.,LOKMANYA TILAK TERMINUS,SATURDAY,Weekend
11097,POORNA EXPRE,PUNE JN.,ERNAKULAM. JN,SATURDAY,Weekend
11304,KOP-HYB EXPR,CHHATRAPATI SHAHU MAHARAJ TERMINUS,HYDERABAD DECCAN,SATURDAY,Weekend
11404,KOP-NGP EXPR,CHHATRAPATI SHAHU MAHARAJ TERMINUS,NAGPUR JN.(CR),SATURDAY,Weekend
11408,LJN-PUNE EXP,LUCKNOW JN.,PUNE JN.,SATURDAY,Weekend
11704,INDB-REWA EX,MHOW,REWA,SATURDAY,Weekend
11802,ETW-JHS LINK,ETAWAH,JHANSI JN,SATURDAY,Weekend
11901,MTJ-KKDE EXP,MATHURA JN.,KURUKSHETRA JN.,SATURDAY,Weekend
12008,MYS-MAS SHAT,MYSORE JN.,CHENNAI CENTRAL,SATURDAY,Weekend
12018,DDN-NDLS SHA,DEHRA DUN,NEW DELHI,SATURDAY,Weekend
12021,HOWRAH-BARAB,HOWRAH JN.,BARBIL,SATURDAY,Weekend
12042,NJP - HWH SH,NEW JALPAIGURI JN,HOWRAH JN.,SATURDAY,Weekend
12047,BHATINDA SHA,NEW DELHI,FIROZPUR CANTT JN.,SATURDAY,Weekend
12070,G - RIG JANS,GONDIA JN.,RAIGARH,SATURDAY,Weekend
12076,TVC - CLT JA,TRIVANDRUM CENTRAL,CALICUT,SATURDAY,Weekend
12084,CBE-MV JAN S,COIMBATORE  JN.,MAYILADUTURAI JN.,SATURDAY,Weekend
12085,GHY-DBRG SHA,GUWAHATI,DIBRUGARH,SATURDAY,Weekend
12101,JNANESWARI D,LOKMANYA TILAK TERMINUS,HOWRAH JN.,SATURDAY,Weekend
12104,LJN-PUNE EXP,LUCKNOW JN.,PUNE JN.,SATURDAY,Weekend
12109,PANCHAVATI E,CST-MUMBAI,MANMAD JN.,SATURDAY,Weekend
12115,CSTM-SUR SID,CST-MUMBAI,SOLAPUR,SATURDAY,Weekend
12116,SUR-CSMT SID,SOLAPUR,CST-MUMBAI,SATURDAY,Weekend
12126,PRAGATI EXPR,PUNE JN.,CST-MUMBAI,SATURDAY,Weekend
12128,INTERCITY EX,PUNE JN.,CST-MUMBAI,SATURDAY,Weekend
12133,CSMT-MAJN EX,CST-MUMBAI,MANGALORE JN,SATURDAY,Weekend
12135,PUNE-NGP EXP,PUNE JN.,NAGPUR JN.(CR),SATURDAY,Weekend
12141,LTT-PPTA EXP,LOKMANYA TILAK TERMINUS,PATLIPUTRA,SATURDAY,Weekend
12145,LTT-PURI WEE,LOKMANYA TILAK TERMINUS,PURI,SATURDAY,Weekend
12149,PUNE-DNR EXP,PUNE JN.,DANAPUR,SATURDAY,Weekend
12153,LTT-HBJ EXPR,LOKMANYA TILAK TERMINUS,HABIBGANJ,SATURDAY,Weekend
12158,HUTATMA EXPR,SOLAPUR,PUNE JN.,SATURDAY,Weekend
12159,AMI- JBP SUF,AMRAVATI,JABALPUR,SATURDAY,Weekend
12167,LTT(T)-BSB S,LOKMANYA TILAK TERMINUS,VARANASI JN.,SATURDAY,Weekend
12169,SUR INTERCIT,PUNE JN.,SOLAPUR,SATURDAY,Weekend
12173,LTT-CNB EXPR,LOKMANYA TILAK TERMINUS,PARTAPGARH JN.,SATURDAY,Weekend
12185,HBJ-REWA REW,HABIBGANJ,REWA,SATURDAY,Weekend
12189,JBP-NZM MAHA,JABALPUR,HAZRAT NIZAMUDDIN JN,SATURDAY,Weekend
12193,YPR-JBP WEEK,YESVANTPUR JN.,JABALPUR,SATURDAY,Weekend
12195,AF-AII INTER,AGRA  FORT,AJMER JN.,SATURDAY,Weekend
12196,AII-AF INTER,AJMER JN.,AGRA  FORT,SATURDAY,Weekend
12206,NANDA DEVI E,DEHRA DUN,NEW DELHI,SATURDAY,Weekend
12208,JAT-KGM GARI,JAMMU TAWI,KATHGODAM,SATURDAY,Weekend
12236,NDLS-GHY RAJ,NEW DELHI,DIBRUGARH,SATURDAY,Weekend
12237,BSB-JAT EXP.,VARANASI JN.,JAMMU TAWI,SATURDAY,Weekend
12240,JP BCT DURON,JAIPUR JN.,MUMBAI CENTRAL,SATURDAY,Weekend
12242,ASR-CDG SUPE,AMRITSAR JN.,CHANDIGARH,SATURDAY,Weekend
12246,YPR - HWH WE,YESVANTPUR JN.,HOWRAH JN.,SATURDAY,Weekend
12250,ANVT-HWH YUV,ANAND VIHAR TERMINAL,HOWRAH JN.,SATURDAY,Weekend
12252,WAINGANGA EX,KORBA,YESVANTPUR JN.,SATURDAY,Weekend
12265,DEE-JAT DURO,DELHI-SARAI ROHILLA,JAMMU TAWI,SATURDAY,Weekend
12266,JAT-DEE,JAMMU TAWI,DELHI-SARAI ROHILLA,SATURDAY,Weekend
12279,TAJ EXPRESS,JHANSI JN,HAZRAT NIZAMUDDIN JN,SATURDAY,Weekend
12294,ALD-LTT DURA,ALLAHABAD JN.,LOKMANYA TILAK TERMINUS,SATURDAY,Weekend
12308,JU-HWH SUPFA,JODHPUR JN.,HOWRAH JN.,SATURDAY,Weekend
12310,PATNA RAJDHA,NEW DELHI,RAJENDRANAGAR TERMINAL,SATURDAY,Weekend
12328,UPASANA EXPR,DEHRA DUN,HOWRAH JN.,SATURDAY,Weekend
12353,HWH LKU EXP,HOWRAH JN.,LALKUA JN.,SATURDAY,Weekend
12358,ASR KOAA SUP,AMRITSAR JN.,KOLKATA,SATURDAY,Weekend
12368,VIKRAMSHILA,ANAND VIHAR TERMINAL,BHAGALPUR,SATURDAY,Weekend
12383,SDAH-ASN INT,SEALDAH,ASANSOL MAIN,SATURDAY,Weekend
12391,SHRAMJEEVI E,RAJGIR,NEW DELHI,SATURDAY,Weekend
12392,SHRAMJEEVI E,NEW DELHI,RAJGIR,SATURDAY,Weekend
12396,ZIYARAT EXPR,AJMER JN.,RAJENDRANAGAR TERMINAL,SATURDAY,Weekend
12398,MAHABODHI EX,NEW DELHI,GAYA JN.,SATURDAY,Weekend
12401,MAGADH EXPRE,ISLAMPUR,NEW DELHI,SATURDAY,Weekend
12408,KARMABHOOMI,AMRITSAR JN.,NEW JALPAIGURI JN,SATURDAY,Weekend
12421,NED-ASR SUPE,NANDED,AMRITSAR JN.,SATURDAY,Weekend
12423,DBRT-NDLS RA,DIBRUGARH TOWN,NEW DELHI,SATURDAY,Weekend
12437,RAJDHANI EXP,SECUNDERABAD JN.,HAZRAT NIZAMUDDIN JN,SATURDAY,Weekend
12452,SHRAM SHKTI,NEW DELHI,KANPUR CENTRAL JN.,SATURDAY,Weekend
12453,RNC-NDLS,RANCHI,NEW DELHI,SATURDAY,Weekend
12457,DEE BKN  S F,DELHI-SARAI ROHILLA,BIKANER JN.,SATURDAY,Weekend
12475,HAPA JAT EXP,HAPA,SHRI MATA VAISHNO DEVI KATRA,SATURDAY,Weekend
12478,SVDK- JAMNAG,SHRI MATA VAISHNO DEVI KATRA,JAMNAGAR,SATURDAY,Weekend
12480,SURYANAGARI,BANDRA TERMINUS,JODHPUR JN.,SATURDAY,Weekend
12489,BKN DDR SF E,BIKANER JN.,DADAR,SATURDAY,Weekend
12517,GARIB RATH E,KOLKATA,GUWAHATI,SATURDAY,Weekend
