Destination_Station_Name,Train_Count
CST-MUMBAI,514
SEALDAH,373
CHENNAI BEACH,342
HOWRAH JN.,337
KALYAN JN,284
THANE,194
PANVEL,144
TAMBARAM,140
MOOR MARKET,132
VELACHEERY,118
NEW DELHI,107
RAVLI JN,93
VASHI,93
DELHI JN.,86
PUNE JN.,81
CHENNAI CENTRAL,79
BARDDHAMAN JN.,76
BANDEL JN.,75
CHENGALPATTU,74
LOKMANYA TILAK TERMINUS,69
GORAKHPUR JN.,67
LUCKNOW JN.,66
SECUNDERABAD JN.,65
HAZRAT NIZAMUDDIN JN,65
KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION),65
AHMEDABAD,63
PATNA JN.,63
YESVANTPUR JN.,60
HYDERABAD DECCAN,59
AMRITSAR JN.,58
LINGAMPALLI,54
VISAKHAPATNAM,52
TIRUPATI,50
RANAGHAT JN.,49
BANDRA TERMINUS,49
PURI,49
BELAPUR C.B.D,48
BANGAON JN.,48
TIRUVALLUR,48
NAIHATI JN.,48
FALAKNUMA,47
ANAND VIHAR TERMINAL,46
DADAR,45
INDORE BG,43
ASANSOL MAIN,43
VIJAYWADA JN.,42
ARAKKONAM JN,42
VARANASI JN.,42
KANPUR CENTRAL JN.,41
ERNAKULAM. JN,40
TITVALA,39
AMBERNATH,39
KARJAT,38
LAKSHMIKANTAPUR,38
JAIPUR JN.,37
KOLKATA,37
AVADI,37
MYSORE JN.,36
GUWAHATI,36
BADLAPUR,35
TRIVANDRUM CENTRAL,34
KATIHAR JN.,34
KURLA,33
KHARAGPUR,33
QUILON,32
GUMMIDIPUNDI,32
BUDGE BUDGE,31
AMBALA CANTT JN,31
TIRUCHIRAPPALLI JN.,30
GAYA JN.,30
CHENNAI EGMORE,30
DOMBIVLI,30
KACHEGUDA,30
BILASPUR JN.,30
COIMBATORE  JN.,30
JAMMU TAWI,29
CANNING,29
TATANAGAR JN,29
NERUL,28
BHUBANESWAR,28
MUZAFFARPUR JN.,28
FIROZPUR CANTT JN.,28
GHAZIABAD JN.,28
KATWA JN.,28
JODHPUR JN.,28
TARAKESHWAR,28
AJMER JN.,27
KRISHNA NAGAR CITY JN.,27
DIAMOND HARBOUR,27
JABALPUR,27
JALANDHAR CITY JN.,27
MANGALORE CENTRAL,27
RANCHI,26
DURG,25
HUBLI JN.,25
DELHI-SARAI ROHILLA,25
MUMBAI VADALA ROAD,25
BIKANER JN.,25
ANAND JN.,24
BARUIPUR JN.,24
MORADABAD JN.,24
REWARI JN.,24
PANSKURA,23
BARASAT JN.,23
DAHANU ROAD,23
MUMBAI CENTRAL,23
AZIMGANJ JN.,23
SAHARSA JN.,23
PATTABIRAM E DEPOT,23
SANTRAGACHI JN.,23
HASANABAD,22
GONDIA JN.,22
RAMPUR HAT,22
GUNTUR JN.,22
SHRI MATA VAISHNO DEVI KATRA,22
JASIDIH JN.,22
JAMALPUR JN.,22
NAGPUR JN.(CR),22
CHHAPRA JN.,22
NANDED,21
MADURAI JN,21
PATHANKOT JN.,21
VADODARA JN.,21
DANKUNI JN.,21
SHANTIPUR JN.,21
SURAT,20
TIRUNELVELI JN,20
HATIA,20
SAMASTIPUR JN.,20
LUDHIANA JN.,20
SHALIMAR,20
BARAUNI JN.,20
ASANGAON,20
HARIDWAR JN,20
GEDE,20
ALLAHABAD JN.,19
BHAGALPUR,19
DEHRA DUN,19
JAYNAGAR,19
SHRI GANGANAGAR,19
RAIPUR JN.,19
RAXAUL JN.,19
SONARPUR JN.,19
BARRACKPORE,19
MIDNAPORE,19
SULLURUPETTA,19
SAHARANPUR JN.,18
KOTA,18
KASARA,18
KAMAKHYA JN,18
LONAVLA,18
CHHATRAPATI SHAHU MAHARAJ TERMINUS,18
MALDA TOWN,18
MATHURA JN.,18
PILIBHIT JN.,18
DARBHANGA JN.,18
BAREILLY JN.,17
NEW JALPAIGURI JN,17
BATHINDA JN,17
SOLAPUR,17
DHANBAD JN.,17
NAGERCOIL JN.,17
PALASDARI,17
CHANDIGARH,17
TIRUTTANI,16
KALYANI SIMANTA,16
MHOW,16
PONDICHERRY,16
VIRAR,16
BHAVNAGAR TERMINUS,16
OKHA,16
PALWAL,16
KASGANJ JN.,16
AGRA CANTT,16
ROHTAK JN.,16
AMRAVATI,15
JIND JN,15
BHOPAL,15
LALGOLA,15
BAREILLY CITY,15
SAI NAGAR SHIRDI,15
UDAIPUR CITY,15
KOCHUVELI,15
KALKA,15
MAYILADUTURAI JN.,15
ADRA,15
MADGOAN JN.,15
NAMKHANA,14
PORBANDAR,14
HISAR JN,14
VILLUPURAM JN.,14
RATLAM JN,14
SILIGURI JN.,14
MUGHAL SARAI JN.,14
SILCHAR,14
SEORAPHULI JN.,14
DANAPUR,13
SHAKUR BASTI,13
NARASAPUR,13
KURUKSHETRA JN.,13
MAJERHAT,13
MERTA ROAD JN.,13
RAJENDRANAGAR TERMINAL,13
VALSAD,13
VARANASI CITY,13
BHUSAVAL JN.,13
RAMESWARAM,13
KANNIYAKUMARI,12
DIBRUGARH,12
ERODE JN.,12
TIRUMALPUR,12
MAILANI JN.,12
ARAMBAG,12
MIRAJ JN.,12
ITWARI JN.,12
JHANSI JN,12
DARJEELING,12
KIUL JN.,12
FAZILKA JN.,12
MACHILIPATNAM,12
NARKATIAGANJ JN.,12
TENALI JN.,11
BANIHAL,11
GANDHIDHAM JN.,11
MARIKUPPAM,11
SAMBALPUR JN.,11
VASCO-DA-GAMA,11
PRAYAG JN.,11
RAMNAGAR,11
FAIZABAD JN.,11
GWALIOR JN,11
KANNUR,11
RAJKOT,11
LALKUA JN.,11
REWA,10
BINA,10
KAZIPET JN.,10
BHAGAT-KI-KOTHI,10
BUDGAM,10
SURATGARH JN.,10
NIZAMABAD,10
PATLIPUTRA,10
DATTAPUKUR,10
PANIPAT JN.,10
SIWAN JN.,10
GUDIVADA JN.,10
ALIGARH JN.,10
BANKURA,10
KAKINADA PORT,10
DIGHA FS,10
MANDUADIH,10
KARAIKAL,10
BANGARPET JN.,10
BAIDYANATHDHAM,10
KATHGODAM,10
SHORANUR JN.,10
CUTTACK JN.,9
BHIWANI JN.,9
RANGIYA JN.,9
SHAHJAHANPUR JN,9
NEW BHUJ,9
THANJAVUR JN.,9
ROURKELA,9
ALIPUR DUAR JN.,9
PURULIA JN.,9
JOGBANI,9
BARAMULLA,9
MERTA CITY,9
SAHIBGANJ,9
SALEM JN.,9
MANMAD JN.,9
KAKINADA TOWN,9
JHARGRAM,9
BAHRAICH,9
FARRUKHABAD JN,8
KHAMBHAT,8
BARMER,8
DIVA JN,8
JAISALMER,8
PARTAPGARH JN.,8
GUNTAKAL JN.,8
ALLEPPEY,8
MAHESANA JN,8
MEDCHAL,8
TINPAHAR JN.,8
NAUTANWA,8
RAJMAHAL,8
BHIMAVARAM JN.,8
BARKAKANA,8
SHIMOGA TOWN,8
SENGOTTAI JN,8
TUNDLA JN,8
SULTANPUR JN.,8
AGARTALA,8
HOSHIARPUR,8
MOKAMA JN.,8
CHOPAN,8
HABRA,8
GONDA JN.,8
RAE BARELI JN.,8
NAJIBABAD JN.,8
DURAUNDHA JN,8
NANGAL DAM,7
BADNERA JN.,7
UMDANAGAR,7
HALDIA,7
RAJGIR,7
NAGDA JN,7
BALHARSHAH,7
DAHOD,7
DAUND JN.,7
NAGARSOL,7
DEHRI-ON-SON,7
PALASA,7
REPALLE,7
PATAN,7
NSC BOSE J GOMO,7
MEERUT CITY JN.,7
GHAZIPUR CITY,7
KATPADI JN,7
THAWE JN.,7
BIDAR,7
GURUVAYUR,7
NILAMBUR ROAD,7
KHAJAURAHO,7
SOMNATH,7
UDHAMPUR,7
TIRUCHENDUR,7
ITARSI,7
WANKANER,6
BARHARWA JN.,6
SHAMLI,6
CHURCHGATE,6
KARMALI,6
MORVI,6
BALGONA,6
VASAI ROAD,6
BELURMATH,6
ETAWAH,6
HABIBGANJ,6
SINGRAULI,6
UJJAIN JN,6
FARUKHNAGAR,6
KOTDWARA,6
BHATNI JN.,6
ARA,6
RISHIKESH,6
MECHEDA,6
DEKARGAON,6
PURNA  JN.,6
GEVRA-ROAD,6
BHADRAKH,6
SURENDRANAGAR,6
NEW BONGAIGAON  JN.,6
SIKAR JN.,6
RADHIKAPUR,6
JAUNPUR JN.,6
JOLARPETTAI JN,6
MANNARGUDI,6
RAJAHMUNDRY,6
GULBARGA,6
DUMKA,6
ANDAL JN.,6
PARADEEP,6
JHAJHA,6
METTUPALAIYAM JN.,6
AGRA  FORT,6
BIJAPUR JN,6
CHAKARADHARPUR,6
PANDHARPUR,6
RATANAGARH JN,6
TUTICORIN,6
BALLIA,6
ALLAHABAD CITY,6
DIBRUGARH TOWN,6
BANGALORE CANTT.,6
SALUR,5
BOBBILI JN.,5
KATANGI,5
ISLAMPUR,5
GUDUR JN.,5
HALDIBARI,5
HAPA,5
BOKARO STEEL CITY,5
PALITANA,5
BHIND,5
VRINDAVAN,5
MURKEONG SELEK,5
KATNI,5
SHIMLA,5
DHARWAD,5
GODHRA JN.,5
DONGAR GARH,5
AMBIKAPUR,5
SHRIRAMPUR,5
CHIRMIRI,5
VIJAPUR,5
KONCH,5
TINSUKIA JN.,5
MAHUVA,5
CALICUT,5
VERAVAL,5
KHURJA JN,5
SITAPUR CANTT,5
CHAMRAJANAGAR,5
KURNOOL TOWN,5
BARA BANKI JN.,5
KASHIPUR JN,5
MAHARAJGANJ,5
BENOY BADAL DINESH BAG,5
MADHUPUR JN.,5
BOTAD JN (MG),5
PUNALUR,5
SITAMARHI,5
BARWADIH JN,5
PALAKKAD JN,5
CHHINWARA JN,5
KHURDA ROAD JN.,5
JHARSUGUDA JN.,5
MEMARI,5
BALASORE,5
GIRDIH,5
KODERMA,5
AJNI,5
AIT JN,5
SAWANTWADI ROAD,5
KOLAR,5
SADULPUR JN,4
GRAM MASAGRAM,4
MANIKPUR JN.,4
BALURGHAT,4
BHOJUDIH JN.,4
KARIM NAGAR,4
JAMNAGAR,4
DOHRIGHAT,4
CUDDAPAH,4
TRICHUR,4
KARUR JN.,4
MALDA COURT,4
AKOLA JN.,4
RAYAGADA JN.,4
AZAMGARH,4
CHITTAURGARH JN,4
NAKODAR JN.,4
BEAS JN,4
INDARA JN.,4
DERABABA NANAK,4
TARN TARAN,4
KHEM KARAN,4
VERKA JN.,4
KANPUR ANWARGANJ,4
BELGAUM,4
BAIJNATH PAPROLA,4
KORBA,4
WARDHA JN.,4
SITAPUR CITY JN.,4
DILDARNAGAR JN,4
BALAMAU JN.,4
SAMBAHAL HATIM SARAI,4
DUM DUM JN.,4
BARHAJ BAZAR,4
LOHIAN KHAS JN.,4
GOBARDANGA,4
KOTTAYAM,4
ARSIKERE JN.,4
KARAIKKUDI,4
SONPUR JN.,4
VELANKANNI,4
TALGUPPA,4
KAWR,4
UDHAGAMANDALAM,4
GUNUPUR,4
BARBIL,4
KOSI KALAN,4
NELLORE,4
KORAPUT JN.,4
PHULERA JN.,4
SAINTHIA JN.,4
MAHBUBNAGAR,4
NIDADAVOLU JN.,4
CHIKJAJUR JN.,4
KAYANKULAM JN,4
KENDRI,4
AMB  ANDAURA,4
LEDO,4
HANSDIHA,4
ULUBARIA,4
BANKA,4
MANKAPUR JN.,4
TILAK BRIDGE,4
VIRAMGAM JN,4
TIRODI,4
NAGBHIR JN.,4
CHHOTA UDEPUR,4
BHARUCH JN.,4
RAIGARH,4
ADILABAD,4
ANUPGARH,4
BAYANA,4
MASAGRAM,4
CHANDANPUR,4
AURANGABAD,4
IDGAH,4
VERAVAL MG,4
DHASA JN (MG),4
SANAWAD,4
GANDHIGRAM,4
SASARAM,4
ONGOLE,4
PONNERI,4
TEZNARAYANPUR,4
SATNA,4
MANOHARABAD,4
BARAMATI,4
PARLI VAIJNATH,4
BARIPADA PH,4
MANGALORE JN,4
ATARI JN,4
TALEGAON,4
SIRSA,3
PALANI,3
SARDARSAHAR,3
BAIYYAPPANAHALLI,3
SULTANGANJ,3
PALGHAT TOWN,3
DHANAURI,3
RENIGUNTA JN.,3
NAGORE,3
MAJHOLA PAKARIYA,3
BAMANHAT,3
BHARATPUR JN,3
AUNRIHAR JN.,3
SHAHGANJ JN.,3
BHANJPUR,3
BANDIKUI JN.,3
CHALISGAON JN.,3
AMTA,3
TARIGHAT,3
GAJRAULA JN.,3
AYODHYA,3
DHULE,3
NEPALGANJ ROAD,3
AMLA JN.,3
KADAMBATTUR,3
AHMEDABAD JN.,3
SINDRI TOWN,3
BAKHTIYARPUR JN.,3
FATUHA,3
NARKHER,3
JAGADALPUR,3
HAJIPUR JN.,3
PURNEA JN.,3
JALNA,3
NAHARLAGUN,3
TUMSAR RD,3
DORNAKAL JN.,3
DIMAPUR,3
BHADRACHALAM ROAD,3
RAICHUR,3
KULEM,3
MANUGURU,3
DHAMTARI,3
LALGARH JN.,3
EDAMANN,3
BARHNI,3
JHALAWAR CITY,3
GWALIOR (NG),3
SABALGARH,3
DALLI-RAJHARA,3
AMBLIYASAN JN.,3
MARWAR JN.,3
RAJIM,3
BERHAMPUR,3
LOHARDAGA  BS,3
BODHAN,3
CHURU,3
RANGAPARA NORTH,3
VRIDHA CHALAM JN.,3
MIRYALAGUDA,3
NANDYAL,3
MACHERLA,3
DINDIGUL JN,3
PALANPUR JN,3
GANDHINAGAR CAPITAL,3
MAHOBA,3
DHRANGADHRA,3
BANGRIPOSI,3
DHARMANAGAR,3
TITLA GARH JN.,3
RAMANAGARAM,3
SONIPAT,3
BOLARUM,3
RAMTEK,3
MAU JN.,3
UDHNA JN.,3
LUMDING JN.,3
BIRAUL,3
JUNAGARH ROAD,3
VELLORE CANTT,3
BUXAR,3
TUMKUR,3
COONOOR,3
DHURI JN.,3
BARUI PARA,3
KUPPAM,3
JAIJON DOABA,3
PHAPHUND,3
HANUMANGARH JN.,2
BANASWADI,2
CHANDAFORT,2
KIRANDUL,2
BISHNUPUR,2
KAPTANGANJ JN.,2
NAKAHA JUNGLE,2
CHHAPRA KACHEHRI,2
SHIKOHABAD JN.,2
BORIVLI,2
PERNEM,2
ROHA,2
KRISHNA RAJA PURAM,2
BARABHUM,2
BHAGA JN,2
HIJLI,2
DAKOR,2
SANJAN,2
VIZIANAGARAM JN.,2
UNA HIMACHAL,2
JORHAT TOWN,2
PUNDOOAH,2
SINGUR,2
FATEHPUR,2
JAKHAL JN.,2
JETALSAR JN (MG),2
JOGINDER NAGAR,2
KURSEONG,2
RATNAGIRI,2
UNCHAHAR JN.,2
RAGHURAJ SINGH,2
SAGAULI JN.,2
SHAKTINAGAR,2
BURHWAL JN.,2
CHANDAUSI JN.,2
CHUNAR JN.,2
KAWAR,2
HOSUR,2
RANUJ,2
DELVADA,2
KANCHIPURAM,2
BETUL,2
JUNAGADH JN,2
KHAGARIA JN.,2
PATNA GHAT,2
WHITE FIELD,2
DIGHA GHAT,2
TILRATH,2
NIMTITA,2
PATIALA,2
PHULWARTANR,2
POLLACHI,2
SHIVAJINAGAR,2
KOT KAPURA JN,2
BHAGTANWALA,2
GARHI HARSARU JN.,2
