Train_No,Train_Name,Source_Station_Name,Destination_Station_Name,days,Service_Category
107,SWV-MAO-VLNK,SAWANTWADI ROAD,MADGOAN JN.,SATURDAY,Weekend
108,VLNK-MAO-SWV,MADGOAN JN.,SAWANTWADI ROAD,FRIDAY,Weekday
128,MAO-KOP SPEC,MADGOAN JN.,CHHATRAPATI SHAHU MAHARAJ TERMINUS,FRIDAY,Weekday
290,PALACE ON WH,DELHI-SAFDAR JANG,DELHI-SAFDAR JANG,WEDNESDAY,Weekday
401,BSB BHARATDA,AURANGABAD,VARANASI JN.,SATURDAY,Weekend
421,LKO-SVDK FTR,LUCKNOW JN.,SHRI MATA VAISHNO DEVI KATRA,TUESDAY,Weekday
422,SVDK-LKO FTR,SHRI MATA VAISHNO DEVI KATRA,LUCKNOW JN.,MONDAY,Weekday
477,FTR TRAIN NO,SIRSA,SIRSA,SUNDAY,Weekend
502,RJPB-UMB FTR,RAJENDRANAGAR TERMINAL,AMBALA CANTT JN,MONDAY,Weekday
504,PNBE-BTI FTR,PATNA JN.,BATHINDA JN,WEDNESDAY,Weekday
506,PNBE-PTA FTR,PATNA JN.,PATIALA,FRIDAY,Weekday
557,RSD-PJP BSF,URKURA,PANJIPARA,WEDNESDAY,Weekday
22439,SVDK VANDEBHARAT,NEW DELHI,SHMATA VD KATRA,FRIDAY,Weekday
604,PNBE-ASR FTR,PATNA JN.,AMRITSAR JN.,THURSDAY,Weekday
1011,CSMT-NGP SF,CST-MUMBAI,NAGPUR JN.(CR),THURSDAY,Weekday
1037,LTT-SWV SPL,LOKMANYA TILAK TERMINUS,SAWANTWADI ROAD,TUESDAY,Weekday
1038,SWV-LTT SPL,SAWANTWADI ROAD,LOKMANYA TILAK TERMINUS,TUESDAY,Weekday
1045,LTT-KRMI SPL,LOKMANYA TILAK TERMINUS,KARMALI,THURSDAY,Weekday
1119,AJNI-KRMI SP,AJNI,KARMALI,MONDAY,Weekday
1120,KRMI-AJNI SP,KARMALI,AJNI,SUNDAY,Weekend
1122,KRMI-CSMT SP,KARMALI,CST-MUMBAI,FRIDAY,Weekday
1196,NGP-KRMI SPL,NAGPUR JN.(CR),KARMALI,SATURDAY,Weekend
1301,PUNE-MAJN WE,PUNE JN.,MANGALORE JN,MONDAY,Weekday
1302,MAJN-PUNE WE,MANGALORE JN,PUNE JN.,TUESDAY,Weekday
1442,DSJ-KK MTY S,DELHI-SAFDAR JANG,KHADKI,TUESDAY,Weekday
1655,PUNE-JBP SPL,PUNE JN.,JABALPUR,WEDNESDAY,Weekday
