Train_No,Train_Name,Source_Station_Name,Destination_Station_Name,days,Service_Category
1011,CSMT-NGP SF,CST-MUMBAI,NAGPUR JN.(CR),THURSDAY,Weekday
2025,CSMT-KRMI SF,CST-MUMBAI,KARMALI,TUESDAY,Weekday
10103,MANDOVI EXPR,CST-MUMBAI,MADGOAN JN.,THURSDAY,Weekday
10111,KONKAN KANYA,CST-MUMBAI,MADGOAN JN.,FRIDAY,Weekday
11007,DECCAN EXPRE,CST-MUMBAI,PUNE JN.,WEDNESDAY,Weekday
11009,SINHAGAD EXP,CST-MUMBAI,PUNE JN.,THURSDAY,Weekday
11019,KONARK EXPRE,CST-MUMBAI,BHUBANESWAR,FRIDAY,Weekday
11023,SAHYADRI EXP,CST-MUMBAI,CHHATRAPATI SHAHU MAHARAJ TERMINUS,WEDNESDAY,Weekday
11027,CSMT-MAS MAI,CST-MUMBAI,CHENNAI CENTRAL,SUNDAY,Weekend
11029,KOYNA EXPRES,CST-MUMBAI,CHHATRAPATI SHAHU MAHARAJ TERMINUS,TUESDAY,Weekday
11041,CSMT -MAS EX,CST-MUMBAI,CHENNAI CENTRAL,TUESDAY,Weekday
11057,AMRITSAR EXP,CST-MUMBAI,AMRITSAR JN.,FRIDAY,Weekday
11093,MAHANAGARI E,CST-MUMBAI,VARANASI JN.,THURSDAY,Weekday
11301,UDYAN EXPRES,CST-MUMBAI,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION),WEDNESDAY,Weekday
11401,NANDIGRHAM E,CST-MUMBAI,NAGPUR JN.(CR),THURSDAY,Weekday
12105,VIDARBHA EXP,CST-MUMBAI,GONDIA JN.,SUNDAY,Weekend
12109,PANCHAVATI E,CST-MUMBAI,MANMAD JN.,SATURDAY,Weekend
12111,CSMT-AMI SF,CST-MUMBAI,AMRAVATI,SUNDAY,Weekend
12115,CSTM-SUR SID,CST-MUMBAI,SOLAPUR,SATURDAY,Weekend
12123,DECCAN QUEEN,CST-MUMBAI,PUNE JN.,WEDNESDAY,Weekday
12125,PRAGATI EXPR,CST-MUMBAI,PUNE JN.,SUNDAY,Weekend
12127,INTERCITY EX,CST-MUMBAI,PUNE JN.,MONDAY,Weekday
12133,CSMT-MAJN EX,CST-MUMBAI,MANGALORE JN,SATURDAY,Weekend
12137,PUNJAB MAIL,CST-MUMBAI,FIROZPUR CANTT JN.,SUNDAY,Weekend
12139,SEWAGRAM EXP,CST-MUMBAI,NAGPUR JN.(CR),WEDNESDAY,Weekday
12188,JBP GARIB RA,CST-MUMBAI,JABALPUR,SUNDAY,Weekend
12261,CSMT-HWH DUR,CST-MUMBAI,HOWRAH JN.,THURSDAY,Weekday
12289,CSMT-NGP DUR,CST-MUMBAI,NAGPUR JN.(CR),THURSDAY,Weekday
12322,KOLKATA MAIL,CST-MUMBAI,HOWRAH JN.,FRIDAY,Weekday
12362,CSMT- ASANSO,CST-MUMBAI,ASANSOL MAIN,WEDNESDAY,Weekday
12534,PUSHPAK SF E,CST-MUMBAI,LUCKNOW JN.,MONDAY,Weekday
12598,CSMT-GKP -WE,CST-MUMBAI,GORAKHPUR JN.,FRIDAY,Weekday
12701,CSMT-HYB HUS,CST-MUMBAI,HYDERABAD DECCAN,SATURDAY,Weekend
12809,CSMT HWH MAI,CST-MUMBAI,HOWRAH JN.,FRIDAY,Weekday
12859,HWH-CSMT,CST-MUMBAI,HOWRAH JN.,WEDNESDAY,Weekday
12869,CSMT-HWH WEE,CST-MUMBAI,HOWRAH JN.,MONDAY,Weekday
15102,JANSADHARN,CST-MUMBAI,CHHAPRA JN.,SUNDAY,Weekend
16331,TRIVANDRAM,CST-MUMBAI,TRIVANDRUM CENTRAL,SUNDAY,Weekend
16339,CSMT-NCJ  EX,CST-MUMBAI,NAGERCOIL JN.,THURSDAY,Weekday
16351,CSMT- NCJ EX,CST-MUMBAI,NAGERCOIL JN.,SATURDAY,Weekend
16381,KANYAKUMARI,CST-MUMBAI,KANNIYAKUMARI,THURSDAY,Weekday
17031,MUMBAI CSMT-,CST-MUMBAI,HYDERABAD DECCAN,FRIDAY,Weekday
17057,CSMT-SC DEVA,CST-MUMBAI,SECUNDERABAD JN.,SUNDAY,Weekend
17411,MAHALAXMI EX,CST-MUMBAI,CHHATRAPATI SHAHU MAHARAJ TERMINUS,TUESDAY,Weekday
17617,CSMT-NED TAP,CST-MUMBAI,NANDED,SUNDAY,Weekend
22101,CSMT-MMR RAJ,CST-MUMBAI,MANMAD JN.,FRIDAY,Weekday
22105,INDRAYANI EX,CST-MUMBAI,PUNE JN.,WEDNESDAY,Weekday
22119,CSTM-KRMI TE,CST-MUMBAI,KARMALI,SUNDAY,Weekend
22143,CSMT-BIDAR E,CST-MUMBAI,BIDAR,SATURDAY,Weekend
51027,FAST PASSENG,CST-MUMBAI,PANDHARPUR,SATURDAY,Weekend
51029,BB BJP FAST,CST-MUMBAI,BIJAPUR JN,THURSDAY,Weekday
51153,MUMBAI BSL P,CST-MUMBAI,BHUSAVAL JN.,SUNDAY,Weekend
91393,WAD1,CST-MUMBAI,RAVLI JN,WEDNESDAY,Weekday
91395,WAD3,CST-MUMBAI,RAVLI JN,TUESDAY,Weekday
91491,WBO1,CST-MUMBAI,RAVLI JN,THURSDAY,Weekday
95701,K1,CST-MUMBAI,KALYAN JN,TUESDAY,Weekday
95703,K11,CST-MUMBAI,KALYAN JN,WEDNESDAY,Weekday
95705,K19,CST-MUMBAI,KALYAN JN,TUESDAY,Weekday
95707,K21,CST-MUMBAI,KALYAN JN,WEDNESDAY,Weekday
95709,K27,CST-MUMBAI,KALYAN JN,WEDNESDAY,Weekday
95711,K33,CST-MUMBAI,KALYAN JN,TUESDAY,Weekday
95715,K41,CST-MUMBAI,KALYAN JN,TUESDAY,Weekday
95717,K53,CST-MUMBAI,KALYAN JN,SATURDAY,Weekend
95719,K73,CST-MUMBAI,KALYAN JN,FRIDAY,Weekday
95721,KW1,CST-MUMBAI,KALYAN JN,WEDNESDAY,Weekday
95727,K89,CST-MUMBAI,KALYAN JN,SUNDAY,Weekend
95731,K95,CST-MUMBAI,KALYAN JN,WEDNESDAY,Weekday
95733,K101,CST-MUMBAI,KALYAN JN,FRIDAY,Weekday
95737,K103,CST-MUMBAI,KALYAN JN,MONDAY,Weekday
95739,K111,CST-MUMBAI,KALYAN JN,SUNDAY,Weekend
95741,K115,CST-MUMBAI,KALYAN JN,FRIDAY,Weekday
95743,K119,CST-MUMBAI,KALYAN JN,TUESDAY,Weekday
95745,K121,CST-MUMBAI,KALYAN JN,SUNDAY,Weekend
95801,DL35,CST-MUMBAI,DOMBIVLI,WEDNESDAY,Weekday
95805,DL49,CST-MUMBAI,DOMBIVLI,SATURDAY,Weekend
95901,T17,CST-MUMBAI,THANE,TUESDAY,Weekday
95903,T27,CST-MUMBAI,THANE,THURSDAY,Weekday
95905,T33,CST-MUMBAI,THANE,MONDAY,Weekday
95907,T43,CST-MUMBAI,THANE,TUESDAY,Weekday
95909,T107,CST-MUMBAI,THANE,TUESDAY,Weekday
95911,T117,CST-MUMBAI,THANE,MONDAY,Weekday
95913,T127,CST-MUMBAI,THANE,THURSDAY,Weekday
95917,T117,CST-MUMBAI,THANE,SUNDAY,Weekend
95919,T131,CST-MUMBAI,THANE,THURSDAY,Weekday
96657,TL71,CST-MUMBAI,TITVALA,THURSDAY,Weekday
