Source_Station_Name,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY,Average_Trains_Per_Day
ABHANPUR JN.,0,1,0,0,0,1,0,0.2857142857142857
ABOHAR,0,0,1,0,0,0,0,0.14285714285714285
ABU ROAD,0,1,0,0,0,0,0,0.14285714285714285
ACHHNERA JN.,0,0,0,0,0,1,0,0.14285714285714285
ADILABAD,0,1,1,2,0,1,0,0.7142857142857143
ADRA,2,2,3,2,4,2,1,2.2857142857142856
ADRAJ MOTI,0,0,2,0,0,0,0,0.2857142857142857
AGARTALA,4,1,0,0,2,1,0,1.1428571428571428
AGRA  FORT,1,0,1,1,2,1,0,0.8571428571428571
AGRA CANTT,2,1,2,4,3,0,4,2.2857142857142856
AHMEDABAD,9,7,8,5,14,12,9,9.142857142857142
AHMEDABAD JN.,1,0,1,0,0,0,1,0.42857142857142855
AIT JN,2,1,1,0,0,1,0,0.7142857142857143
AJMER JN.,6,3,3,3,3,6,3,3.857142857142857
AJNI,1,0,2,0,1,1,0,0.7142857142857143
AKOLA JN.,0,0,0,2,0,2,0,0.5714285714285714
ALIGARH JN.,1,2,1,2,2,0,2,1.4285714285714286
ALIPUR DUAR JN.,1,1,0,2,3,1,1,1.2857142857142858
ALLAHABAD CITY,0,1,1,2,0,0,1,0.7142857142857143
ALLAHABAD JN.,4,2,3,2,2,1,4,2.5714285714285716
ALLEPPEY,1,1,1,1,1,1,2,1.1428571428571428
ALWAR JN.,0,1,0,0,0,0,1,0.2857142857142857
AMB  ANDAURA,0,1,1,1,1,0,0,0.5714285714285714
AMBALA CANTT JN,8,3,3,3,2,7,3,4.142857142857143
AMBERNATH,9,10,2,0,9,3,6,5.571428571428571
AMBIKAPUR,1,2,2,0,0,0,0,0.7142857142857143
AMBLIYASAN JN.,0,0,2,0,0,1,0,0.42857142857142855
AMLA JN.,0,0,1,2,0,0,0,0.42857142857142855
AMRAVATI,2,2,5,0,2,3,1,2.142857142857143
AMRITSAR JN.,10,7,5,6,12,10,7,8.142857142857142
AMTA,0,0,1,0,0,1,1,0.42857142857142855
ANAND JN.,3,3,4,6,4,1,4,3.5714285714285716
ANAND VIHAR TERMINAL,7,3,5,6,5,11,10,6.714285714285714
ANDAL JN.,0,4,0,0,2,0,0,0.8571428571428571
ANDHERI,0,0,0,0,1,0,0,0.14285714285714285
ANGUL,1,0,0,0,0,0,0,0.14285714285714285
ANKLESHWAR JN.,0,0,1,0,0,0,0,0.14285714285714285
ANUPGARH,0,3,0,0,1,0,0,0.5714285714285714
ANUPPUR JN.,0,1,0,0,1,0,0,0.2857142857142857
ARA,0,0,2,3,1,0,0,0.8571428571428571
ARAKKONAM JN,7,6,5,6,3,10,7,6.285714285714286
ARAMBAG,4,2,0,1,3,2,1,1.8571428571428572
ARSIKERE JN.,1,0,1,2,0,0,0,0.5714285714285714
ASANGAON,2,3,5,3,2,3,2,2.857142857142857
ASANSOL MAIN,7,11,6,7,4,6,1,6.0
ATARI JN,0,2,0,1,0,1,0,0.5714285714285714
AUNRIHAR JN.,1,0,0,0,0,0,2,0.42857142857142855
AURANGABAD,0,0,1,0,0,2,2,0.7142857142857143
AVADI,8,3,5,7,8,6,4,5.857142857142857
AYODHYA,0,0,0,0,1,1,1,0.42857142857142855
AZAMGARH,0,0,0,2,0,1,1,0.5714285714285714
AZIMGANJ JN.,3,6,4,3,1,5,1,3.2857142857142856
BADAMPAHAR,0,0,0,0,0,0,1,0.14285714285714285
BADARPUR JN.,1,0,0,0,0,0,0,0.14285714285714285
BADLAPUR,4,4,8,4,5,7,3,5.0
BADNERA JN.,0,3,2,1,1,0,0,1.0
BADSHAHNAGAR,0,0,0,0,0,1,0,0.14285714285714285
BAGALKOT,0,0,1,0,0,0,0,0.14285714285714285
BAGAVATHIPURAM,0,0,0,0,1,0,0,0.14285714285714285
BAGNAN,0,1,0,0,1,0,1,0.42857142857142855
BAHRAICH,0,1,1,1,1,4,1,1.2857142857142858
BAIDYANATHDHAM,2,0,2,1,3,1,1,1.4285714285714286
BAIJNATH PAPROLA,0,0,1,1,1,1,0,0.5714285714285714
BAIYYAPPANAHALLI,0,1,0,0,0,1,1,0.42857142857142855
BAKHTIYARPUR JN.,0,0,1,0,1,0,1,0.42857142857142855
BALAMAU JN.,1,0,0,1,1,1,0,0.5714285714285714
BALANGIR,0,0,0,0,0,1,0,0.14285714285714285
BALASORE,0,1,0,0,1,1,2,0.7142857142857143
BALGONA,1,0,0,0,3,0,0,0.5714285714285714
